Guarantee_Class,Target_Alpha (%),Scoring_Model,Mean_Tau,All_Folds_Certified,Mean_Test_Risk,Risk_Std,Coverage_Pct,SAY_Pct,Total_Hits,Total_False_Alarms,Risk_Descriptive_CI
Tier 2: PAC-CRC (90% Confidence),25,M2: Conf Platt Baseline,0.7538,True,8.370000000000001,5.371182365178081,14.436000000000002,11.97,250,52,"[1.70%, 15.04%]"
Tier 2: PAC-CRC (90% Confidence),25,M4: Conf + Consistency,0.7717799999999999,True,14.437999999999999,8.364392984550642,15.780000000000001,12.193999999999999,253,75,"[4.05%, 24.82%]"
Tier 2: PAC-CRC (90% Confidence),25,M6: AquaTrust (Ours),0.76936,True,11.822,7.834814611718647,15.782,12.318,256,73,"[2.10%, 21.55%]"
Tier 2: PAC-CRC (90% Confidence),30,M1: Raw YOLOv8s @ 832,0.42257999999999996,True,13.196000000000002,5.13395364217481,19.222,14.896,314,93,"[6.82%, 19.57%]"
Tier 2: PAC-CRC (90% Confidence),30,M2: Conf Platt Baseline,0.69868,True,13.196000000000002,5.13395364217481,19.222,14.896,314,93,"[6.82%, 19.57%]"
Tier 2: PAC-CRC (90% Confidence),30,M4: Conf + Consistency,0.7477400000000001,True,14.437999999999999,8.364392984550642,18.008000000000003,14.022,290,83,"[4.05%, 24.82%]"
Tier 2: PAC-CRC (90% Confidence),30,M6: AquaTrust (Ours),0.67806,True,19.232,5.130391797903938,24.434,17.918,376,139,"[12.86%, 25.60%]"
Tier 2: PAC-CRC (95% Confidence),10,M1: Raw YOLOv8s @ 832,1.0,False,0.0,0.0,0.0,0.0,0,0,"[0.00%, 0.00%]"
Tier 2: PAC-CRC (95% Confidence),10,M2: Conf Platt Baseline,1.0,False,0.0,0.0,0.0,0.0,0,0,"[0.00%, 0.00%]"
Tier 2: PAC-CRC (95% Confidence),10,M4: Conf + Consistency,1.0,False,0.0,0.0,0.0,0.0,0,0,"[0.00%, 0.00%]"
Tier 2: PAC-CRC (95% Confidence),10,M6: AquaTrust (Ours),1.0,False,0.0,0.0,0.0,0.0,0,0,"[0.00%, 0.00%]"
Tier 2: PAC-CRC (95% Confidence),15,M1: Raw YOLOv8s @ 832,0.6128600000000001,True,3.536,3.6156783595889723,6.8199999999999985,6.1259999999999994,126,14,"[0.00%, 8.02%]"
Tier 2: PAC-CRC (95% Confidence),15,M2: Conf Platt Baseline,0.8619999999999999,True,3.536,3.6156783595889723,6.8199999999999985,6.1259999999999994,126,14,"[0.00%, 8.02%]"
Tier 2: PAC-CRC (95% Confidence),15,M4: Conf + Consistency,0.92056,True,1.384,2.1856989728688623,2.92,2.542,49,7,"[0.00%, 4.10%]"
Tier 2: PAC-CRC (95% Confidence),15,M6: AquaTrust (Ours),0.88536,True,2.2600000000000002,2.3123472922552097,5.632,5.168,106,9,"[0.00%, 5.13%]"
Tier 2: PAC-CRC (95% Confidence),20,M1: Raw YOLOv8s @ 832,0.5730000000000001,True,5.968,3.6305605627781503,8.478,7.044,145,30,"[1.46%, 10.48%]"
Tier 2: PAC-CRC (95% Confidence),20,M2: Conf Platt Baseline,0.83468,True,5.968,3.6305605627781503,8.478,7.044,145,30,"[1.46%, 10.48%]"
Tier 2: PAC-CRC (95% Confidence),20,M4: Conf + Consistency,0.88842,True,2.6,1.950179478919825,5.442,4.87,98,11,"[0.18%, 5.02%]"
Tier 2: PAC-CRC (95% Confidence),20,M6: AquaTrust (Ours),0.83764,True,6.401999999999999,5.112046556908495,9.972,8.36,170,33,"[0.06%, 12.75%]"
Tier 2: PAC-CRC (95% Confidence),25,M1: Raw YOLOv8s @ 832,0.49514,True,7.986,5.981544950930319,13.334,10.952000000000002,227,50,"[0.56%, 15.41%]"
Tier 2: PAC-CRC (95% Confidence),25,M2: Conf Platt Baseline,0.7730400000000001,True,7.986,5.981544950930319,13.334,10.952000000000002,227,50,"[0.56%, 15.41%]"
Tier 2: PAC-CRC (95% Confidence),25,M4: Conf + Consistency,0.8028599999999999,True,10.72,8.942921782057583,12.8,10.546000000000001,217,46,"[0.00%, 21.82%]"
Tier 2: PAC-CRC (95% Confidence),25,M6: AquaTrust (Ours),0.79182,True,9.77,6.136668477276575,13.966,11.187999999999999,231,58,"[2.15%, 17.39%]"
Tier 2: PAC-CRC (95% Confidence),30,M1: Raw YOLOv8s @ 832,0.45095999999999997,True,10.072,6.627919733973851,16.524,13.175999999999998,276,71,"[1.84%, 18.30%]"
Tier 2: PAC-CRC (95% Confidence),30,M2: Conf Platt Baseline,0.73314,True,10.072,6.627919733973851,16.524,13.175999999999998,276,71,"[1.84%, 18.30%]"
Tier 2: PAC-CRC (95% Confidence),30,M4: Conf + Consistency,0.7716,True,14.437999999999999,8.364392984550642,15.825999999999999,12.24,254,75,"[4.05%, 24.82%]"
Tier 2: PAC-CRC (95% Confidence),30,M6: AquaTrust (Ours),0.7541399999999999,True,13.524000000000001,8.938796339552658,17.36,13.059999999999999,272,91,"[2.43%, 24.62%]"
